handle;year;cites;if_;if_5;docs_published;h_index;type;issn1;issn2;type2;year3;scimago_id;sjr;type4;year5;jourqual;type6;year7;bwl;type8;year9;vwl;journal_name
RePEc:abp:hehehe;2017;;null;null;0;;ReDIF-Article;1519-3314;2525-8184;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;F;História Econômica & História de Empresas
RePEc:aem:journl;2017;;null;null;19;1;ReDIF-Article;2537-6179;1857-436X;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Eastern European Journal for Regional Studies (EEJRS)
RePEc:aem:wpaper;2017;;null;null;17;;ReDIF-Article;2537-6187;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;CSIE Working Papers
RePEc:aen:eeepjl;2017;117;1.08;1.09;15;13;ReDIF-Article;0195-6574;1944-9089;scimago;2018;29391;1.372;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;C;Economics of Energy & Environmental Policy
RePEc:aen:journl;2017;486;1.35;1.67;67;64;ReDIF-Article;0195-6574;1944-9089;scimago;2018;29391;1.372;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;C;The Energy Journal
RePEc:aeq:aeqaeq;2017;9;null;0.26;0;15;ReDIF-Article;1611-6607;1865-5122;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;F;Applied Economics Quarterly (formerly: Konjunkturpolitik)
RePEc:aeq:aeqsjb;2017;28;null;0.4;0;20;ReDIF-Article;1439-121X;1865-5742;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;F;Schmollers Jahrbuch : Journal of Applied Social Science Studies / Zeitschrift für Wirtschafts- und Sozialwissenschaften
RePEc:aes:amfeco;2017;64;0.14;0.17;62;11;ReDIF-Article;1582-9146;2247-9104;scimago;2018;18400156702;0.237;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;The AMFITEATRU ECONOMIC journal
RePEc:aes:dbjour;2017;5;0.03;0.05;21;2;ReDIF-Article;2069-3230;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Database Systems Journal
RePEc:aes:icmbdj;2017;;null;null;24;;ReDIF-Article;2344-5130;2501-8779;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;International Conference on Marketing and Business Development Journal
