RePEc:aem:journl;2017;;null;null;19;1;ReDIF-Article;2537-6179;1857-436X;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aem:wpaper;2017;;null;null;17;;ReDIF-Article;2537-6187;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aes:dbjour;2017;5;0.03;0.05;21;2;ReDIF-Article;2069-3230;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aes:icmbdj;2017;;null;null;24;;ReDIF-Article;2344-5130;2501-8779;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aes:ijeptp;2017;2;null;0.09;0;3;ReDIF-Article;2247-7225;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aes:jdreco;2017;;null;null;0;;ReDIF-Article;2066-611X;2068-3782;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aes:jetimm;2017;1;0.03;0.03;28;1;ReDIF-Article;2537-5865;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aes:sccece;2017;;null;null;0;;ReDIF-Article;0585-7511;1843-0112;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aio:aucsse;2017;6;0.03;0.02;19;3;ReDIF-Article;1223-365X;1843-3723;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aio:fpvfcf;2017;2;null;0.02;13;3;ReDIF-Article;1583-3712;2392-8085;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aio:manmar;2017;8;0.04;0.06;16;3;ReDIF-Article;1841-2416;2068-9667;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:aio:rteyej;2017;1;null;0.01;0;2;ReDIF-Article;1583-9982;2067-0052;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:alg:jijdte;2017;;null;null;11;;ReDIF-Article;2459-5934;2584-332X;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:amf:ijhcda;2017;;null;null;0;;ReDIF-Article;2286-1084;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:amf:ijrtfa;2017;;null;null;0;;ReDIF-Article;2285-7958;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:apt:jouiss;2017;;null;null;0;3;ReDIF-Article;1778-4379;0988-3266;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:ath:journl;2017;3;0.02;0.01;32;3;ReDIF-Article;2065-8168;2068-2077;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:beh:jbepv1;2017;;null;null;33;1;ReDIF-Article;2572-8997;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:bot:rivsta;2017;4;0.05;0.03;20;5;ReDIF-Article;0390-590X;1973-2201;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:bpi:revpad;2017;;null;null;0;1;ReDIF-Article;1583-7890;2067-1962;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:brv:almnch;2017;;null;null;0;;ReDIF-Article;1337-0715;1339-3502;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:brv:journl;2017;6;null;0.04;20;2;ReDIF-Article;1336-1562;1339-2751;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:buh:journl;2017;;null;null;7;;ReDIF-Article;1453-5386;2392-8107;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:but:anneas;2017;1;null;0.06;0;1;ReDIF-Article;1842-9327;2458-102X;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:but:ijebfa;2017;3;0.1;0.06;0;3;ReDIF-Article;2069-5756;2285-0430;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:but:ijhefa;2017;;null;null;0;;ReDIF-Article;2069-5748;2285-0449;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:but:manage;2017;3;0.01;0.01;0;2;ReDIF-Article;1453-0503;2286-170X;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cbu:jrnlec;2017;35;0.02;0.02;216;5;ReDIF-Article;1844-7007;2344-3685;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cbu:jrnlju;2017;;null;null;0;;ReDIF-Article;1844-7015;2344-486X;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cej:primer;2017;;null;null;0;;ReDIF-Article;1692-3065;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:cem:temana;2017;;null;null;0;1;ReDIF-Article;1668-5792;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:chc:studse;2017;1;null;0.11;0;3;ReDIF-Article;2235-1868;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clh:briefi;2017;;null;null;9;1;ReDIF-Article;2560-8320;2560-8312;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clh:commun;2017;;null;null;25;1;ReDIF-Article;2560-8320;2560-8312;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clh:defenc;2017;;null;null;0;;ReDIF-Article;2560-8320;2560-8312;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:clh:resear;2017;19;0.08;0.1;20;5;ReDIF-Article;2560-8320;2560-8312;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
