id;id_doi;category;discipline;count;
1;1;Business, Management and Accounting;71;1;
2;1;Physics and Astronomy;1;2;
3;1;Psychology;17;3;
4;1;Sports and Recreations;8;4;
5;1;Nursing and Health Professions;1;5;
6;1;Unspecified;6;6;
7;1;Design;2;7;
8;1;Computer Science;1;8;
9;1;Arts and Humanities;1;9;
10;1;Social Sciences;11;10;
11;1;Economics, Econometrics and Finance;3;11;
12;2;Business, Management and Accounting;8;12;
13;2;Unspecified;1;13;
15;3;Economics, Econometrics and Finance;2;15;
16;3;Unspecified;3;16;
17;3;Engineering;1;17;
18;3;Design;1;18;
19;3;Computer Science;2;19;
20;3;Social Sciences;11;20;
23;4;Economics, Econometrics and Finance;2;23;
24;4;Unspecified;4;24;
25;4;Biochemistry, Genetics and Molecular Biology;1;25;
26;4;Arts and Humanities;1;26;
27;4;Social Sciences;3;27;
29;5;Business, Management and Accounting;52;29;
30;5;Economics, Econometrics and Finance;3;30;
31;5;Unspecified;11;31;
34;5;Psychology;2;34;
35;7;Business, Management and Accounting;44;35;
37;7;Nursing and Health Professions;1;37;
38;7;Psychology;17;38;
39;7;Environmental Science;1;39;
41;7;Computer Science;2;41;
42;7;Unspecified;12;42;
44;7;Biochemistry, Genetics and Molecular Biology;2;44;
45;7;Arts and Humanities;2;45;
46;7;Agricultural and Biological Sciences;1;46;
47;7;Chemistry;1;47;
49;7;Economics, Econometrics and Finance;1;49;
50;8;Business, Management and Accounting;17;50;
52;8;Unspecified;3;52;
53;9;Business, Management and Accounting;180;53;
54;9;Psychology;18;54;
55;9;Environmental Science;2;55;
56;9;Decision Sciences;1;56;
57;9;Sports and Recreations;1;57;
58;9;Computer Science;1;58;
60;9;Engineering;3;60;
62;9;Arts and Humanities;2;62;
63;9;Agricultural and Biological Sciences;3;63;
64;9;Chemistry;1;64;
65;9;Social Sciences;54;65;
66;9;Economics, Econometrics and Finance;32;66;
67;10;Business, Management and Accounting;14;67;
68;10;Engineering;1;68;
69;10;Social Sciences;2;69;
71;11;Business, Management and Accounting;21;71;
73;11;Decision Sciences;1;73;
74;11;Philosophy;1;74;
75;11;Nursing and Health Professions;1;75;
79;12;Business, Management and Accounting;8;79;
80;12;Biochemistry, Genetics and Molecular Biology;1;80;
82;12;Unspecified;1;82;
83;13;Business, Management and Accounting;16;83;
84;13;Psychology;13;84;
85;13;Sports and Recreations;1;85;
86;13;Nursing and Health Professions;1;86;
88;13;Arts and Humanities;1;88;
89;13;Social Sciences;3;89;
90;13;Economics, Econometrics and Finance;3;90;
91;14;Business, Management and Accounting;60;91;
92;14;Psychology;15;92;
94;14;Philosophy;1;94;
95;14;Computer Science;1;95;
96;14;Unspecified;8;96;
97;14;Economics, Econometrics and Finance;1;97;
99;14;Design;1;99;
100;14;Chemical Engineering;1;100;
102;14;Social Sciences;15;102;
103;14;Arts and Humanities;1;103;
104;16;Business, Management and Accounting;32;104;
105;16;Psychology;22;105;
109;16;Engineering;1;109;
111;16;Computer Science;1;111;
112;16;Arts and Humanities;1;112;
113;16;Neuroscience;1;113;
114;16;Social Sciences;15;114;
115;16;Economics, Econometrics and Finance;105;115;
116;17;Business, Management and Accounting;31;116;
119;17;Biochemistry, Genetics and Molecular Biology;1;119;
120;17;Social Sciences;1;120;
121;17;Psychology;1;121;
122;18;Business, Management and Accounting;37;122;
123;18;Economics, Econometrics and Finance;2;123;
124;18;Unspecified;15;124;
125;18;Engineering;3;125;
126;18;Biochemistry, Genetics and Molecular Biology;1;126;
127;18;Computer Science;6;127;
128;18;Social Sciences;11;128;
129;18;Psychology;3;129;
130;19;Business, Management and Accounting;25;130;
131;19;Economics, Econometrics and Finance;2;131;
132;19;Environmental Science;1;132;
133;19;Unspecified;8;133;
134;19;Engineering;1;134;
136;20;Business, Management and Accounting;1;136;
137;21;Business, Management and Accounting;55;137;
138;21;Economics, Econometrics and Finance;2;138;
139;21;Unspecified;7;139;
140;21;Engineering;1;140;
141;21;Medicine and Dentistry;1;141;
142;21;Computer Science;1;142;
143;21;Arts and Humanities;3;143;
144;21;Agricultural and Biological Sciences;1;144;
145;21;Social Sciences;18;145;
146;21;Psychology;20;146;
147;22;Business, Management and Accounting;30;147;
148;22;Materials Science;1;148;
149;22;Economics, Econometrics and Finance;1;149;
150;22;Unspecified;4;150;
151;22;Social Sciences;7;151;
152;22;Psychology;17;152;
153;23;Social Sciences;1;153;
154;23;Psychology;1;154;
155;24;Business, Management and Accounting;2;155;
156;24;Social Sciences;1;156;
157;24;Arts and Humanities;1;157;
158;25;Business, Management and Accounting;1;158;
159;26;Business, Management and Accounting;47;159;
160;26;Economics, Econometrics and Finance;5;160;
161;26;Environmental Science;1;161;
162;26;Unspecified;20;162;
163;26;Engineering;1;163;
164;26;Design;1;164;
165;26;Biochemistry, Genetics and Molecular Biology;1;165;
166;26;Social Sciences;4;166;
167;26;Psychology;3;167;
168;27;Business, Management and Accounting;54;168;
169;27;Economics, Econometrics and Finance;4;169;
170;27;Unspecified;11;170;
171;27;Engineering;1;171;
172;27;Computer Science;2;172;
173;27;Social Sciences;7;173;
174;27;Psychology;3;174;
175;28;Business, Management and Accounting;297;175;
176;28;Materials Science;1;176;
177;28;Physics and Astronomy;1;177;
178;28;Psychology;29;178;
179;28;Sports and Recreations;1;179;
180;28;Philosophy;1;180;
181;28;Computer Science;10;181;
