id;doi;count;year;issn;title;publisher;discipline;electronic
1;10.1080/19416520.2012.678697;122;2012;1941-6520;The Sporting Life: Exploring Organizations through the Lens of Sport;Academy of Management Annals;bwl;\N
2;10.5465/annals.2016.0167;9;2018;1941-6520; The Academy of Management Annals : Looking Back, Looking Forward ;Academy of Management Annals;bwl;\N
3;10.1080/19416520.2011.587283;58;2011;1941-6520;Naï{dotless}veté and cynicism in negotiations and other competitive contexts;Academy of Management Annals;bwl;\N
4;10.5465/annals.2016.0077;33;2018;1941-6520;Work–Family Backlash: The “Dark Side” of Work–Life Balance (WLB) Policies;Academy of Management Annals;bwl;\N
5;10.5465/annals.2014.0079;71;2017;1941-6520;Redirecting Research Efforts on the Diversification–Performance Linkage: The Search for Synergy;Academy of Management Annals;bwl;\N
6;10.5465/19416520.2016.1162423;0;2018;1941-6520;Diverging and Converging: Integrative Insights on a Paradox Meta-perspective;Academy of Management Annals;bwl;\N
7;10.5465/annals.2016.0044;96;2017;1941-6520;A Multi-Level Process Model for Understanding Diversity Practice Effectiveness;Academy of Management Annals;bwl;\N
8;10.5465/annals.2016.0055;21;2018;1941-6520;Control–Trust Dynamics in Organizations: Identifying Shared Perspectives and Charting Conceptual Fault Lines;Academy of Management Annals;bwl;\N
9;10.5465/19416520.2013.782190;324;2018;1941-6520;Research on Women Entrepreneurs: Challenges to (and from) the Broader Entrepreneurship Literature?;Academy of Management Annals;bwl;\N
10;10.5465/annals.2017.0035;19;2018;1941-6520;More Than Just a Number? The Conceptualization and Measurement of Firm Age in an Era of Temporary Organizations;Academy of Management Annals;bwl;\N
11;10.5465/annals.2016.0094;37;2018;1941-6520;Social Resource Management: Integrating Social Network Theory and Human Resource Management;Academy of Management Annals;bwl;\N
12;10.5465/annals.2016.0133;12;2018;1941-6520;The Dilemma Portfolio: A Strategy to Advance the Study of Social Dilemmas in Organizations;Academy of Management Annals;bwl;\N
13;10.5465/annals.2016.0045;43;2018;1941-6520;Developing, Sustaining, and Maximizing Team Effectiveness: An Integrative, Dynamic Perspective of Team Development Interventions;Academy of Management Annals;bwl;\N
15;10.5465/19416520.2013.798963;0;2018;1941-6520;Erratum;Academy of Management Annals;bwl;\N
16;10.5465/annals.2015.0126;203;2017;1941-6520;Self-Control at Work;Academy of Management Annals;bwl;\N
17;10.5465/annals.2016.0046;43;2017;1941-6520;Putting Escalation of Commitment in Context: A Multilevel Review and Analysis;Academy of Management Annals;bwl;\N
18;10.5465/annals.2016.0041;78;2018;1941-6520;Valuing Multiple Trajectories of Knowledge: A Critical Review and Agenda for Knowledge Management Research;Academy of Management Annals;bwl;\N
19;10.5465/annals.2016.0031;38;2018;1941-6520;CEO Attributes and Firm Performance: A Sequential Mediation Process Model;Academy of Management Annals;bwl;\N
20;10.1080/19416520.2016.1157308;1;2016;1941-6520;Erratum;The Academy of Management Annals;bwl;\N
23;10.1080/19416520.2016.1160515;2;2016;1941-6520;Leadership and Affect:;The Academy of Management Annals;bwl;\N
24;10.1080/19416520.2014.885252;4;2014;1941-6520;More Formally:;Academy of Management Annals;bwl;\N
25;10.1080/19416520.2012.672039;1;2017;1941-6520;Vaara & Whittington 2012 - SAP: Taking Social Practises Seriously;\N;bwl;\N
26;10.5465/annals.2016.0018;83;2017;1941-6520;Renewing Research on Problemistic Search—A Review and Research Agenda;Academy of Management Annals;bwl;\N
27;10.5465/annals.2015.0148;82;2017;1941-6520;Living and Dying: Synthesizing the Literature on Firm Survival and Failure across Stages of Development;Academy of Management Annals;bwl;\N
29;10.1080/19416520.2012.660761;187;2012;1941-6520;Religion and Organization: A Critical Review of Current Trends and Future Directions;Academy of Management Annals;bwl;\N
30;10.5465/annals.2014.0054;113;2017;1941-6520;Work Design Influences: A Synthesis of Multilevel Factors that Affect the Design of Jobs;Academy of Management Annals;bwl;\N
31;10.1080/19416520.2011.585818;231;2011;1941-6520;Toward a theory of the informal economy;Academy of Management Annals;bwl;\N
34;10.5465/19416520.2013.783668;195;2018;1941-6520;Accounting, Organizing, and Economizing: Connecting Accounting Research and Organization Theory;Academy of Management Annals;bwl;\N
35;10.5465/19416520.2013.766076;349;2018;1941-6520;Imprinting: Toward a Multilevel Theory;Academy of Management Annals;bwl;\N
37;10.5465/annals.2016.0109;65;2018;1941-6520;Uncertainty, Knowledge Problems, and Entrepreneurial Action;Academy of Management Annals;bwl;\N
38;10.5465/annals.2016.0051;90;2018;1941-6520;Incumbent Adaptation to Technological Change: The Past, Present, and Future of Research on Heterogeneous Incumbent Response;Academy of Management Annals;bwl;\N
39;10.1080/19416520.2014.875671;20;2014;1941-6520;The Academy of Management Annals Power in Management and Organization Science Power in Management and Organization Science;The Academy of Management Annals;bwl;\N
41;10.1080/19416520.2013.798963;1;2013;1941-6520;Erratum;Academy of Management Annals;bwl;\N
42;10.5465/annals.2015.0152;71;2017;1941-6520;Organizations as Polities: An Open Systems Perspective;Academy of Management Annals;bwl;\N
44;10.5465/annals.2016.0035;56;2017;1941-6520;Meaning at the Source: The Dynamics of Field Formation in Institutional Research;Academy of Management Annals;bwl;\N
45;10.1080/19416520.2011.589143;344;2011;1941-6520;Routines revisited: Exploring the capabilities and practice perspectives;Academy of Management Annals;bwl;\N
46;10.5465/annals.2014.0019;109;2017;1941-6520;Transforming Research on Diversity and Firm Performance: A Dynamic Capabilities Perspective;Academy of Management Annals;bwl;\N
