id;id_doi;status;count
1;1;Lecturer;7
2;1;Student  > Doctoral Student;17
3;1;Researcher;11
4;1;Professor;8
5;1;Student  > Postgraduate;6
6;1;Unspecified;5
7;1;Student  > Master;16
8;1;Student  > Bachelor;2
9;1;Other;4
10;1;Student  > Ph. D. Student;30
11;1;Professor > Associate Professor;16
12;2;Researcher;1
13;2;Student  > Master;1
15;2;Student  > Ph. D. Student;5
16;3;Lecturer;5
17;3;Student  > Doctoral Student;6
18;3;Researcher;4
19;3;Professor;7
20;3;Lecturer > Senior Lecturer;2
23;3;Student  > Master;6
24;3;Student  > Bachelor;4
25;3;Other;1
26;3;Student  > Ph. D. Student;13
27;3;Librarian;1
29;4;Student  > Doctoral Student;3
30;4;Researcher;3
31;4;Professor;3
34;4;Other;2
35;4;Student  > Ph. D. Student;10
37;5;Lecturer;2
38;5;Student  > Doctoral Student;7
39;5;Researcher;5
41;5;Lecturer > Senior Lecturer;2
42;5;Unspecified;7
44;5;Student  > Bachelor;5
45;5;Student  > Ph. D. Student;28
46;5;Professor > Associate Professor;7
47;7;Student  > Doctoral Student;12
49;7;Professor;6
50;7;Lecturer > Senior Lecturer;1
52;7;Unspecified;8
53;7;Student  > Master;14
54;7;Student  > Bachelor;5
55;7;Other;6
56;7;Student  > Ph. D. Student;21
57;7;Professor > Associate Professor;15
58;8;Lecturer;2
60;8;Professor;1
62;8;Student  > Ph. D. Student;11
63;8;Professor > Associate Professor;2
64;9;Lecturer;16
65;9;Student  > Doctoral Student;42
66;9;Researcher;21
67;9;Professor;17
68;9;Lecturer > Senior Lecturer;4
69;9;Student  > Postgraduate;8
71;9;Student  > Master;54
73;9;Other;3
74;9;Student  > Ph. D. Student;98
75;9;Librarian;1
79;10;Researcher;2
80;10;Professor;2
82;10;Unspecified;1
83;10;Student  > Bachelor;1
84;10;Student  > Ph. D. Student;6
85;10;Professor > Associate Professor;1
86;11;Student  > Doctoral Student;6
88;11;Professor;2
89;11;Student  > Postgraduate;1
90;11;Unspecified;3
91;11;Student  > Master;4
92;11;Student  > Bachelor;1
94;11;Student  > Ph. D. Student;11
95;11;Professor > Associate Professor;3
96;12;Student  > Doctoral Student;1
97;12;Student  > Master;1
99;12;Lecturer > Senior Lecturer;1
100;12;Unspecified;1
102;12;Student  > Ph. D. Student;4
103;12;Professor > Associate Professor;2
104;13;Student  > Doctoral Student;6
105;13;Researcher;1
109;13;Unspecified;4
111;13;Student  > Bachelor;3
112;13;Other;1
113;13;Student  > Ph. D. Student;15
114;13;Professor > Associate Professor;3
115;14;Lecturer;2
116;14;Student  > Doctoral Student;21
119;14;Student  > Postgraduate;4
120;14;Unspecified;5
121;14;Student  > Master;12
122;14;Student  > Bachelor;7
123;14;Other;3
124;14;Student  > Ph. D. Student;36
125;14;Professor > Associate Professor;6
126;16;Lecturer;9
127;16;Student  > Doctoral Student;16
128;16;Researcher;20
129;16;Professor;6
130;16;Lecturer > Senior Lecturer;2
131;16;Student  > Postgraduate;4
132;16;Unspecified;11
133;16;Student  > Master;22
134;16;Student  > Bachelor;7
136;16;Student  > Ph. D. Student;85
137;16;Librarian;1
138;16;Professor > Associate Professor;8
139;17;Lecturer;1
140;17;Student  > Doctoral Student;3
141;17;Researcher;2
142;17;Professor;1
143;17;Unspecified;7
144;17;Student  > Master;5
145;17;Student  > Bachelor;3
146;17;Student  > Ph. D. Student;17
147;17;Professor > Associate Professor;4
148;18;Lecturer;3
149;18;Student  > Doctoral Student;12
150;18;Researcher;6
151;18;Professor;2
152;18;Lecturer > Senior Lecturer;1
153;18;Student  > Postgraduate;2
154;18;Unspecified;11
155;18;Student  > Master;10
156;18;Student  > Bachelor;3
157;18;Other;1
158;18;Student  > Ph. D. Student;24
159;18;Professor > Associate Professor;3
160;19;Lecturer;3
161;19;Student  > Doctoral Student;4
162;19;Researcher;5
163;19;Student  > Postgraduate;2
164;19;Unspecified;6
165;19;Student  > Master;2
166;19;Student  > Bachelor;2
167;19;Other;1
168;19;Student  > Ph. D. Student;12
169;19;Professor > Associate Professor;1
170;20;Student  > Ph. D. Student;1
171;21;Lecturer;3
172;21;Student  > Doctoral Student;14
173;21;Researcher;11
174;21;Professor;4
175;21;Lecturer > Senior Lecturer;2
176;21;Student  > Postgraduate;1
177;21;Unspecified;5
178;21;Student  > Master;8
179;21;Student  > Bachelor;6
180;21;Other;4
181;21;Student  > Ph. D. Student;44
182;21;Professor > Associate Professor;7
183;22;Lecturer;1
184;22;Student  > Doctoral Student;8
185;22;Researcher;4
186;22;Professor;2
187;22;Lecturer > Senior Lecturer;1
188;22;Unspecified;2
189;22;Student  > Master;7
190;22;Student  > Bachelor;2
191;22;Other;3
192;22;Student  > Ph. D. Student;26
193;22;Professor > Associate Professor;4
194;23;Researcher;1
195;23;Student  > Master;1
196;24;Student  > Master;1
197;24;Lecturer;1
198;24;Professor > Associate Professor;1
199;24;Student  > Ph. D. Student;1
200;25;Student  > Ph. D. Student;1
201;26;Lecturer;5
203;26;Researcher;5
204;26;Professor;4
205;26;Unspecified;13
206;26;Student  > Master;6
207;26;Student  > Bachelor;2
208;26;Other;1
209;26;Student  > Ph. D. Student;31
210;26;Professor > Associate Professor;8
211;27;Lecturer;5
212;27;Student  > Doctoral Student;11
213;27;Researcher;3
214;27;Professor;5
215;27;Lecturer > Senior Lecturer;2
216;27;Student  > Postgraduate;1
217;27;Unspecified;6
218;27;Student  > Master;4
219;27;Student  > Bachelor;3
220;27;Student  > Ph. D. Student;34
221;27;Professor > Associate Professor;8
222;28;Lecturer;22
223;28;Student  > Doctoral Student;66
224;28;Researcher;21
225;28;Professor;22
226;28;Lecturer > Senior Lecturer;7
227;28;Student  > Postgraduate;19
228;28;Unspecified;36
229;28;Student  > Master;92
230;28;Student  > Bachelor;22
231;28;Other;14
232;28;Student  > Ph. D. Student;123
233;28;Librarian;1
234;28;Professor > Associate Professor;33
235;29;Lecturer;13
236;29;Student  > Doctoral Student;29
237;29;Researcher;8
238;29;Professor;13
239;29;Lecturer > Senior Lecturer;3
240;29;Student  > Postgraduate;5
241;29;Unspecified;5
242;29;Student  > Master;29
243;29;Student  > Bachelor;4
244;29;Other;5
245;29;Student  > Ph. D. Student;57
246;29;Professor > Associate Professor;16
247;30;Lecturer;2
248;30;Student  > Doctoral Student;9
249;30;Researcher;12
250;30;Professor;7
251;30;Lecturer > Senior Lecturer;3
252;30;Unspecified;7
253;30;Student  > Master;19
254;30;Student  > Bachelor;6
255;30;Student  > Ph. D. Student;42
256;30;Librarian;1
257;30;Professor > Associate Professor;5
258;31;Lecturer;17
259;31;Student  > Doctoral Student;30
260;31;Researcher;18
261;31;Professor;17
262;31;Lecturer > Senior Lecturer;4
263;31;Student  > Postgraduate;2
264;31;Unspecified;6
265;31;Student  > Master;35
266;31;Student  > Bachelor;13
267;31;Other;4
268;31;Student  > Ph. D. Student;63
269;31;Professor > Associate Professor;22
270;32;Lecturer;8
271;32;Student  > Doctoral Student;33
272;32;Researcher;13
273;32;Professor;7
274;32;Lecturer > Senior Lecturer;1
275;32;Student  > Postgraduate;13
276;32;Unspecified;8
277;32;Student  > Master;58
278;32;Student  > Bachelor;18
279;32;Other;8
280;32;Student  > Ph. D. Student;72
281;32;Librarian;1
282;32;Professor > Associate Professor;15
283;33;Lecturer;8
284;33;Student  > Doctoral Student;20
285;33;Researcher;9
286;33;Professor;9
287;33;Lecturer > Senior Lecturer;4
288;33;Student  > Postgraduate;3
289;33;Unspecified;9
290;33;Student  > Master;24
291;33;Student  > Bachelor;4
292;33;Other;1
293;33;Student  > Ph. D. Student;48
294;33;Professor > Associate Professor;7
295;34;Lecturer;13
296;34;Student  > Doctoral Student;26
297;34;Researcher;10
298;34;Professor;11
299;34;Lecturer > Senior Lecturer;5
300;34;Student  > Postgraduate;6
301;34;Unspecified;11
302;34;Student  > Master;12
303;34;Student  > Bachelor;17
304;34;Other;1
305;34;Student  > Ph. D. Student;67
306;34;Librarian;1
307;34;Professor > Associate Professor;15
308;35;Lecturer;12
309;35;Student  > Doctoral Student;45
310;35;Researcher;24
311;35;Professor;17
312;35;Lecturer > Senior Lecturer;3
